bill_id,bill_type,bill_number,congress,title,status
hr635-110,hr,635,110,"To amend the Clean Air Act to require that, after the year 2012, all gasoline sold to consumers in the United States for motor vehicles contain not less than 10 percent renewable fuel, and for other purposes.",in_committee
hr5634-110,hr,5634,110,New American Innovators Act,in_committee
hr984-110,hr,984,110,Executive Branch Reform Act of 2007,out_of_committee
hr4296-110,hr,4296,110,Medicare Electronic Medication and Safety Protection (E-MEDS) Act of 2007,in_committee
hr4109-110,hr,4109,110,Prison Abuse Remedies Act of 2007,in_committee
hr1180-110,hr,1180,110,Western Waters and Farm Lands Protection Act,in_committee
hr7333-110,hr,7333,110,Special Inspector General for the Troubled Asset Relief Program Act of 2008,in_committee
hr4105-110,hr,4105,110,Medicare Recovery Audit Contractor Program Moratorium Act of 2007,in_committee
hr1199-110,hr,1199,110,Drug Endangered Children Act of 2007,passed
hr894-110,hr,894,110,Responsible Campaign Communications Act of 2007,in_committee
hr2701-110,hr,2701,110,Transportation Energy Security and Climate Change Mitigation Act of 2007,out_of_committee
hr6707-110,hr,6707,110,Taking Responsible Action for Community Safety Act,out_of_committee
hr4049-110,hr,4049,110,Money Service Business Act of 2008,out_of_committee
hr281-110,hr,281,110,Universal Right to Vote by Mail Act of 2008,out_of_committee
hr1926-110,hr,1926,110,Colon Cancer Screen for Life Act of 2007,in_committee
hr1321-110,hr,1321,110,Medicare Advanced Laboratory Diagnostics Act of 2007,in_committee
hr3450-110,hr,3450,110,College Student Success Act,in_committee
hr380-110,hr,380,110,Pharmaceutical Market Access and Drug Safety Act of 2007,in_committee
hr2896-110,hr,2896,110,Teachers at the Table Act,in_committee
hr3977-110,hr,3977,110,To amend the Harmonized Tariff Schedule of the United States to clarify the tariff rate for certain mechanics' work gloves.,in_committee
hr411-110,hr,411,110,"To amend the Internal Revenue Code of 1986 to make permanent certain temporary provisions applicable to individuals, including the sales tax deduction, the child credit, the repeal of the estate tax, and the deduction for higher education expenses.",in_committee
hr6111-110,hr,6111,110,Employee Misclassification Prevention Act,in_committee
hr3633-110,hr,3633,110,To provide for export controls of certain items relating to civil aircraft.,in_committee
hr3024-110,hr,3024,110,Healthy Children and Families Act of 2007,in_committee
hr1650-110,hr,1650,110,Railroad Antitrust Enforcement Act of 2008,out_of_committee
hr495-110,hr,495,110,Oregon Water Resources Management Act of 2007,out_of_committee
hr6433-110,hr,6433,110,Animal Generic Drug User Fee Act of 2008,out_of_committee
hr5280-110,hr,5280,110,Stop Unfair Practices in Credit Cards Act of 2007,in_committee
hr7181-110,hr,7181,110,Life Sustaining Treatment Preferences Act of 2008,in_committee
hr977-110,hr,977,110,Genomic Research and Accessibility Act,in_committee
hr6151-110,hr,6151,110,Responsibility in Drug and Device Advertising Act of 2008,in_committee
hr6619-110,hr,6619,110,Savings for the Uninsured on Rx Expenses (SURE) Act of 2008,in_committee
hr3981-110,hr,3981,110,Preserve America and Save America's Treasures Act,out_of_committee
hr6896-110,hr,6896,110,Timber Revitalization and Economic Enhancement Act II of 2008,in_committee
hr1851-110,hr,1851,110,Section 8 Voucher Reform Act of 2007,out_of_committee
hr4-110,hr,4,110,Medicare Prescription Drug Price Negotiation Act of 2007,out_of_committee
hr5983-110,hr,5983,110,Homeland Security Network Defense and Accountability Act of 2008,out_of_committee
hr404-110,hr,404,110,Federal Customer Service Enhancement Act of 2008,out_of_committee
hr6884-110,hr,6884,110,Bone Marrow Failure Disease Research and Treatment Act of 2008,in_committee
hr1952-110,hr,1952,110,National Health Information Incentive Act of 2007,in_committee
hr1970-110,hr,1970,110,Northwestern New Mexico Rural Water Projects Act,in_committee
hr989-110,hr,989,110,Innocent Sellers Fairness Act,in_committee
hr3232-110,hr,3232,110,Travel Promotion Act of 2008,out_of_committee
hr1191-110,hr,1191,110,To authorize the National Park Service to pay for services rendered by subcontractors under a General Services Administration Indefinite Deliver/Indefinite Quantity Contract issued for work to be completed at the Grand Canyon National Park.,out_of_committee
hr5185-110,hr,5185,110,To extend the temporary suspension of duty on polytetramethylene ether glycol.,in_committee
hr3815-110,hr,3815,110,Homeland Security Open Source Information Enhancement Act of 2008,out_of_committee
hr2272-110,hr,2272,110,America COMPETES Act,passed
hr624-110,hr,624,110,Free Trade With Cuba Act,in_committee
hr2324-110,hr,2324,110,Government Contact Act,in_committee
hr5656-110,hr,5656,110,To repeal a requirement with respect to the procurement and acquisition of alternative fuels.,in_committee
hr4420-110,hr,4420,110,"To suspend temporarily the duty on 2,4-Diamino-3-Y4-(2-sulfoxyethylsulfonyl)-phenylazo?-5-Y4-(2 sulfoxyethyl sulfonyl)-2-sulfophenylazo?-benzenesulfonic acid potassium sodium salt.",in_committee
hr6107-110,hr,6107,110,American Energy Independence and Price Reduction Act,in_committee
hr6962-110,hr,6962,110,Humanitarian Relief to Cuba Act,in_committee
hr2102-110,hr,2102,110,Free Flow of Information Act of 2007,out_of_committee
hr2606-110,hr,2606,110,340B Program Improvement and Integrity Act of 2007,in_committee
hr3525-110,hr,3525,110,FACT Act Rulewriting Improvement Act of 2007,in_committee
hr4348-110,hr,4348,110,To extend the suspension of duty on Bayowet C4.,in_committee
hr3088-110,hr,3088,110,Long-Term Care Act of 2007,in_committee
hr1317-110,hr,1317,110,Community-Based Health Care Retraining Act,in_committee
hr4997-110,hr,4997,110,To extend the temporary suspension of duty on certain suspension system stabilizer bars.,in_committee
hr5959-110,hr,5959,110,Intelligence Authorization Act for Fiscal Year 2009,out_of_committee
hr4921-110,hr,4921,110,To extend the temporary suspension of duty on Lewatit.,in_committee
hr5570-110,hr,5570,110,Religious Worker Visa Extension Act of 2008,out_of_committee
hr6059-110,hr,6059,110,Delivering Effective Training and Enforcement Resources (DETER) Act of 2008,in_committee
hr3441-110,hr,3441,110,Instructional Leadership Act of 2007,in_committee
hr6873-110,hr,6873,110,Medicare Hospice Protection Act of 2008,in_committee
hr3221-110,hr,3221,110,Housing and Economic Recovery Act of 2008,passed
hr6984-110,hr,6984,110,"Federal Aviation Administration Extension Act of 2008, Part II",passed
hr1409-110,hr,1409,110,College Life Safety and Fire Prevention Act,in_committee
hr5889-110,hr,5889,110,Orphan Works Act of 2008,in_committee
hr5184-110,hr,5184,110,"To suspend temporarily the duty on 2-methyl-3-(3,4-methylenedioxyphenyl) propanal.",in_committee
hr1302-110,hr,1302,110,Global Poverty Act of 2007,out_of_committee
hr4351-110,hr,4351,110,AMT Relief Act of 2007,out_of_committee
hr1994-110,hr,1994,110,Financial Aid Accountability and Transparency Act of 2007,in_committee
hr2546-110,hr,2546,110,"To designate the Department of Veterans Affairs Medical Center in Asheville, North Carolina, as the ""Charles George Department of Veterans Affairs Medical Center"".",passed
hr2881-110,hr,2881,110,FAA Reauthorization Act of 2007,out_of_committee
hr1777-110,hr,1777,110,Need-Based Educational Aid Act of 2008,passed
hr4717-110,hr,4717,110,To extend the temporary suspension of duty on Prosulfuron Technical.,in_committee
hr5073-110,hr,5073,110,To extend the suspension of duty on Crelan VP LS 2147.,in_committee
hr1834-110,hr,1834,110,National Ocean Exploration Program Act,out_of_committee
hr1422-110,hr,1422,110,Endangered Species Recovery Act of 2007,in_committee
hr321-110,hr,321,110,Currency Harmonization Initiative Through Neutralizing Action Act of 2005,in_committee
hr1830-110,hr,1830,110,"To extend the authorities of the Andean Trade Preference Act until February 29, 2008.",passed
hr4562-110,hr,4562,110,"To extend the temporary suspension of duty on Oxiranemethanol, polymers with reduced methyl esters of reduced polymerized oxidized tetrafluoroethylene.",in_committee
