committee_id,bill_id
HSWM,hr4912-110
HSAG,hr5813-110
HSFA,hr5813-110
HSIF,hr1597-110
HSJU,hr3053-110
HSJU,hr1964-110
HSWM,hr5392-110
HSHM,hr5577-110
HSIF,hr5577-110
HSPW,hr2169-110
HSED,hr3122-110
HSBA,hr4050-110
HSED,hr3642-110
HSBA,hr5840-110
HSWM,hr4429-110
HSJU,hr618-110
HSWM,hr5070-110
HSWM,hr4642-110
HSJU,hr3679-110
HSIF,hr5942-110
HSII,hr759-110
SSEG,hr759-110
HSJU,hr876-110
HSAG,hr6377-110
HSJU,hr6885-110
HSED,hr6885-110
HSJU,hr436-110
HSWM,hr6194-110
HSIF,hr1190-110
HSWM,hr1190-110
HSWM,hr4823-110
HSFA,hr225-110
HSWM,hr4507-110
HSII,hr214-110
HSIF,hr2354-110
HSWM,hr2354-110
HSPW,hr2354-110
HSAS,hr2354-110
HSGO,hr2354-110
HSJU,hr2354-110
HSED,hr3438-110
HSED,hr2573-110
HSIF,hr4993-110
HSED,hr4993-110
HSWM,hr4993-110
HSGO,hr4993-110
HSED,hr2847-110
HSWM,hr2942-110
HSJU,hr655-107
HSII,hr987-107
SSCM,s1220-107
HSED,hr660-108
SSHR,hr660-108
HSWM,hr1479-108
HSII,hr2828-108
HSPW,hr2828-108
HSAP,hr2765-108
HSJU,hr2899-108
HSED,hr2899-108
HSWM,hr3591-109
HSPW,hr620-109
HSGO,hr620-109
HSWM,hr6111-109
HSAG,hr3849-109
HSWM,hr4-109
HSED,hr4-109
HSIF,hr5049-109
HSSY,hr5049-109
HSFA,hr5049-109
HSED,hr5049-109
HSWM,hr2989-109
HSIF,hr4538-109
HSED,hr740-109
HSWM,hr1272-109
HSJU,hr884-109
HSED,hr2429-109
HSJU,hr2088-109
HSWM,hr2088-109
HSBA,hr176-109
HSED,hr27-109
SSHR,hr27-109
HSIF,hr3248-109
HSGO,hr22-109
HSJU,hr22-109
HSWM,hr4281-109
HSIF,hr3511-109
HSJU,hr1360-109
HSIF,hr1360-109
HSWM,hr1360-109
HSED,hr1360-109
HSBA,hr1360-109
HSFA,hr5858-109
HSED,hr107-109
HSIF,hr107-109
SSFI,s280-109
SSAF,s1776-109
SSHR,s2725-109
SSFI,s4-109
SSJU,s1815-109
SSFI,s978-109
SSEG,s2059-109
SSHR,s187-109
SSHR,s1021-109
SSCM,s2686-109
SSEG,s1135-109
SSEV,s730-109
SSBK,s4063-109
SSFI,s1569-109
SSFI,s2949-109
SSJU,s256-109
HSJU,s256-109
HSBA,s256-109
SSHR,s334-109
SSRA,s2233-109
SSJU,s103-109
SSFI,s3952-109
HSFA,hres373-110
HSGO,hres888-110
HSIF,hres672-110
